﻿package,Github url
http-media,https://github.com/zmthy/http-media
io-region,https://github.com/Yuras/io-region/wiki
io-machine,https://github.com/YoshikuniJujo/io-machine#readme
compiler-warnings,https://github.com/yi-editor/compiler-warnings#readme
css-text,https://github.com/yesodweb/css-text
haskell-lexer,https://github.com/yav/haskell-lexer
libyaml,https://github.com/yaml/libyaml
frontmatter,https://github.com/yamadapc/haskell-frontmatter
ascii-progress,https://github.com/yamadapc/haskell-ascii-progress
logfloat,https://github.com/wrengr/logfloat
exact-combinatorics,https://github.com/wrengr/exact-combinatorics
if,https://github.com/winterland1989/if
data-has,https://github.com/winterland1989/data-has
binary-parsers,https://github.com/winterland1989/binary-parsers
binary-ieee754,https://github.com/winterland1989/binary-ieee754
hs-bibutils,https://github.com/wilx/hs-bibutils
avers,https://github.com/wereHamster/avers
codec-rpm,https://github.com/weldr/codec-rpm
elf,https://github.com/wangbj/elf
HsOpenSSL,https://github.com/vshabanov/HsOpenSSL
language-c,https://github.com/visq/language-c/
libgit,https://github.com/vincenthz/hs-libgit
hourglass,https://github.com/vincenthz/hs-hourglass
gauge,https://github.com/vincenthz/hs-gauge
cryptohash-cryptoapi,https://github.com/vincenthz/hs-cryptohash-cryptoapi
crypto-pubkey,https://github.com/vincenthz/hs-crypto-pubkey
crypto-numbers,https://github.com/vincenthz/hs-crypto-numbers
connection,https://github.com/vincenthz/hs-connection
cipher-aes,https://github.com/vincenthz/hs-cipher-aes
hxt,https://github.com/UweSchmidt/hxt
cereal-text,https://github.com/ulikoehler/cereal-text
aws-cloudfront-signed-cookies,https://github.com/typeclasses/aws-cloudfront-signed-cookies
bytestring-conversion,https://github.com/twittner/bytestring-conversion/
distributed-closure,https://github.com/tweag/distributed-closure
interpolator,https://github.com/tvision-insights/interpolator
alsa-mixer,https://github.com/ttuegel/alsa-mixer
do-list,https://github.com/tserduke/do-list#readme
connection-pool,https://github.com/trskop/connection-pool
between,https://github.com/trskop/between
boxes,https://github.com/treeowl/boxes
cpuinfo,https://github.com/TravisWhitaker/cpuinfo
cfenv,https://github.com/tomphp/haskell-cfenv#readme
JuicyPixels,https://github.com/TomMD/JuicyPixels-repa
entropy,https://github.com/TomMD/entropy
crypto-api,https://github.com/TomMD/crypto-api
here,https://github.com/tmhedberg/here
hedgehog-corpus,https://github.com/tmcgilchrist/hedgehog-corpus
kawhi,https://github.com/thunky-monk/kawhi
edit-distance-vector,https://github.com/thsutton/edit-distance-vector
aeson-diff,https://github.com/thsutton/aeson-diff
hamtsolo,https://github.com/tfc/hamtsolo#readme
lackey,https://github.com/tfausak/lackey#readme
json-feed,https://github.com/tfausak/json-feed#readme
flow,https://github.com/tfausak/flow#readme
derulo,https://github.com/tfausak/derulo#readme
autoexporter,https://github.com/tfausak/autoexporter#readme
hslua-aeson,https://github.com/tarleb/hslua-aeson#readme
ghci-hexcalc,https://github.com/takenobu-hs/ghci-hexcalc
data-clist,https://github.com/sw17ch/data-clist
filtrable,https://github.com/strake/filtrable.hs
inflections,https://github.com/stackbuilders/inflections-hs
dotenv,https://github.com/stackbuilders/dotenv-hs
cassava-megaparsec,https://github.com/stackbuilders/cassava-megaparsec
atomic-write,https://github.com/stackbuilders/atomic-write
dlist,https://github.com/spl/dlist
katip,https://github.com/Soostone/katip
logging-facade,https://github.com/sol/logging-facade#readme
interpolate,https://github.com/sol/interpolate#readme
doctest,https://github.com/sol/doctest#readme
call-stack,https://github.com/sol/call-stack#readme
aeson-qq,https://github.com/sol/aeson-qq#readme
graph-wrapper,https://github.com/soenkehahn/graph-wrapper
getopt-generics,https://github.com/soenkehahn/getopt-generics#readme
http-client,https://github.com/snoyberg/http-client
hebrew-time,https://github.com/snoyberg/hebrew-time#readme
githash,https://github.com/snoyberg/githash#readme
file-embed,https://github.com/snoyberg/file-embed
classy-prelude,https://github.com/snoyberg/classy-prelude/pull/125
bzlib-conduit,https://github.com/snoyberg/bzlib-conduit#readme
basic-prelude,https://github.com/snoyberg/basic-prelude#readme
io-streams,https://github.com/snapframework/io-streams/issues/27
HTF,https://github.com/skogsbaer/HTF/
fmlist,https://github.com/sjoerdvisscher/fmlist
coercible-utils,https://github.com/sjakobi/coercible-utils
currency,https://github.com/singpolyma/currency-haskell
hledger,https://github.com/simonmichael/hledger/issues?q=label:bounty
happy,https://github.com/simonmar/happy/issues
async,https://github.com/simonmar/async
alex,https://github.com/simonmar/alex/issues
function-builder,https://github.com/sheyll/function-builder#readme
bytestring-to-vector,https://github.com/sheyll/bytestring-to-vector
ghc-core,https://github.com/shachaf/ghc-core
emacs-module,https://github.com/sergv/emacs-module
hasql-optparse-applicative,https://github.com/sannsyn/hasql-optparse-applicative
composable-associations,https://github.com/SamProtas/composable-associations#readme
duration,https://github.com/ryota-ka/duration#readme
lift-generics,https://github.com/RyanGlScott/lift-generics
keycode,https://github.com/RyanGlScott/keycode
eliminators,https://github.com/RyanGlScott/eliminators
echo,https://github.com/RyanGlScott/echo
code-page,https://github.com/RyanGlScott/code-page
leancheck,https://github.com/rudymatela/leancheck#readme
leancheck-instances,https://github.com/rudymatela/leancheck-instances#readme
hspec-leancheck,https://github.com/rudymatela/hspec-leancheck#readme
fitspec,https://github.com/rudymatela/fitspec#readme
extrapolate,https://github.com/rudymatela/extrapolate#readme
etc,https://github.com/roman/Haskell-etc
indexed,https://github.com/reinerp/indexed
fuzzy-dates,https://github.com/ReedOei/fuzzy-dates#readme
islink,https://github.com/redneb/islink
hxt-css,https://github.com/redneb/hxt-css
btrfs,https://github.com/redneb/hs-btrfs
adler32,https://github.com/redneb/hs-adler32
disk-free-space,https://github.com/redneb/disk-free-space
bv-little,https://github.com/recursion-ninja/bv-little
dbus,https://github.com/rblaze/haskell-dbus#readme
credential-store,https://github.com/rblaze/credential-store#readme
GenericPretty,https://github.com/RazvanRanca/GenericPretty
ENIG,https://github.com/QuietJoon/ENIG#readme
doldol,https://github.com/QuietJoon/doldol/
hedgehog-fn,https://github.com/qfpl/hedgehog-fn
ChannelT,https://github.com/pthariensflame/ChannelT
hourglass-orphans,https://github.com/psibi/hourglass-orphans#readme
fb,https://github.com/psibi/fb
fakedata,https://github.com/psibi/fakedata#readme
ca-province-codes,https://github.com/prikhi/ca-province-codes#readme
email-validate,https://github.com/Porges/email-validate-hs
hspec-golden-aeson,https://github.com/plow-technologies/hspec-golden-aeson#readme
editor-open,https://github.com/pharpend/editor-open
JuicyPixels-scale-dct,https://github.com/phadej/JuicyPixels-scale-dct#readme
insert-ordered-containers,https://github.com/phadej/insert-ordered-containers#readme
github-types,https://github.com/phadej/github
generics-sop-lens,https://github.com/phadej/generics-sop-lens#readme
functor-classes-compat,https://github.com/phadej/functor-classes-compat#readme
file-embed-lzma,https://github.com/phadej/file-embed-lzma
dlist-nonempty,https://github.com/phadej/dlist-nonempty
crypt-sha512,https://github.com/phadej/crypt-sha512
cabal-doctest,https://github.com/phadej/cabal-doctest
boring,https://github.com/phadej/boring
binary-tagged,https://github.com/phadej/binary-tagged#readme
base64-bytestring-type,https://github.com/phadej/base64-bytestring-type#readme
aeson-compat,https://github.com/phadej/aeson-compat#readme
logging-facade-syslog,https://github.com/peti/logging-facade-syslog#readme
language-nix,https://github.com/peti/language-nix#readme
jailbreak-cabal,https://github.com/peti/jailbreak-cabal#readme
hsyslog,https://github.com/peti/hsyslog
hsemail,https://github.com/peti/hsemail#readme
hsdns,https://github.com/peti/hsdns
hopenssl,https://github.com/peti/hopenssl
hledger-interest,https://github.com/peti/hledger-interest
hackage-db,https://github.com/peti/hackage-db#readme
funcmp,https://github.com/peti/funcmp
distribution-opensuse,https://github.com/peti/distribution-opensuse/
distribution-nixpkgs,https://github.com/peti/distribution-nixpkgs#readme
cabal2spec,https://github.com/peti/cabal2spec
hexml-lens,https://github.com/pepeiborra/hexml-lens#readme
haskell-src-exts-util,https://github.com/pepeiborra/haskell-src-exts-util
load-env,https://github.com/pbrisbin/load-env#readme
Decimal,https://github.com/PaulJohnson/Haskell-Decimal
aeson-picker,https://github.com/ozzzzz/aeson-picker#readme
crypto-enigma,https://github.com/orome/crypto-enigma-hs
logging-effect,https://github.com/ocharles/logging-effect
bitset-word8,https://github.com/nshimaza/bitset-word8#readme
inspection-testing,https://github.com/nomeata/inspection-testing
lens-datetime,https://github.com/nilcons/lens-datetime
html-entities,https://github.com/nikita-volkov/html-entities
hasql-transaction,https://github.com/nikita-volkov/hasql-transaction
hasql-pool,https://github.com/nikita-volkov/hasql-pool
