pipes,40, at Fri Nov 29 20:46:24 UTC 2019,66111 total (1617 in the last 30 days)
pipes-aeson,13, at Tue Mar  7 16:15:17 UTC 2017,8788 total (416 in the last 30 days)
pipes-attoparsec,14, at Tue Mar  7 16:21:08 UTC 2017,11812 total (464 in the last 30 days)
pipes-binary,12, at Tue May 22 14:07:52 UTC 2018,8230 total (315 in the last 30 days)
pipes-bytestring,12, at Fri Jul 14 04:43:00 UTC 2017,18256 total (429 in the last 30 days)
pipes-category,4, at Sun Oct  8 10:02:19 UTC 2017,1821 total (92 in the last 30 days)
pipes-concurrency,16, at Mon Sep 24 21:03:15 UTC 2018,14608 total (557 in the last 30 days)
pipes-csv,7, at Thu Nov 26 00:22:50 UTC 2015,5907 total (251 in the last 30 days)
pipes-extras,15, at Wed Jul  4 03:00:09 UTC 2018,7459 total (442 in the last 30 days)
pipes-fastx,0, at Fri Jun 26 22:56:43 UTC 2015,899 total (53 in the last 30 days)
pipes-fluid,8, at Fri Jun  1 11:55:01 UTC 2018,2885 total (130 in the last 30 days)
pipes-group,12, at Wed Jul  4 02:53:56 UTC 2018,17175 total (504 in the last 30 days)
pipes-http,6, at Thu Feb  7 13:32:30 UTC 2019,8324 total (275 in the last 30 days)
pipes-misc,12, at Tue May 22 18:15:30 UTC 2018,3940 total (111 in the last 30 days)
pipes-network,18, at Wed May 16 10:59:25 UTC 2018,12392 total (487 in the last 30 days)
pipes-network-tls,5, at Sun Nov 17 20:44:23 UTC 2019,3188 total (183 in the last 30 days)
pipes-parse,13, at Sat Dec  3 00:30:35 UTC 2016,19982 total (390 in the last 30 days)
pipes-random,5, at Fri May 10 02:56:05 UTC 2019,2778 total (208 in the last 30 days)
pipes-safe,19, at Fri Sep  6 15:33:04 UTC 2019,20182 total (811 in the last 30 days)
pipes-wai,3, at Fri Jan  8 03:59:53 UTC 2016,2719 total (135 in the last 30 days)
pkcs10,7, at Wed Nov  2 09:36:02 UTC 2016,3804 total (179 in the last 30 days)
placeholders,0, at Fri Apr 29 05:06:32 UTC 2011,7012 total (119 in the last 30 days)
planb-token-introspection,4, at Fri May  3 12:55:43 UTC 2019,1515 total (192 in the last 30 days)
plotlyhs,2, at Fri Nov  9 08:42:42 UTC 2018,1547 total (98 in the last 30 days)
pointed,30, at Mon Jan 22 16:25:09 UTC 2018,60354 total (1186 in the last 30 days)
pointedlist,16, at Sat Apr 26 18:26:59 UTC 2014,21008 total (409 in the last 30 days)
pointless-fun,3, at Sat May 30 05:50:05 UTC 2015,2983 total (133 in the last 30 days)
poll,1, at Sat Feb 17 21:36:53 UTC 2018,1909 total (121 in the last 30 days)
poly,6, at Sat Nov  2 21:47:24 UTC 2019,1095 total (196 in the last 30 days)
poly-arity,9, at Sun Mar 19 04:24:14 UTC 2017,4127 total (96 in the last 30 days)
polynomials-bernstein,3, at Tue Sep 29 13:30:45 UTC 2015,2867 total (141 in the last 30 days)
polyparse,15, at Thu Aug 22 14:00:52 UTC 2019,169639 total (1108 in the last 30 days)
polysemy,22, at Sun Feb 16 15:23:19 UTC 2020,5034 total (871 in the last 30 days)
polysemy-plugin,12, at Sun Feb 16 15:23:45 UTC 2020,2593 total (512 in the last 30 days)
polysemy-zoo,12, at Sun Feb 16 14:50:00 UTC 2020,2704 total (680 in the last 30 days)
pooled-io,7, at Sat Sep  1 10:36:22 UTC 2018,4333 total (313 in the last 30 days)
port-utils,6, at Sat Apr 27 20:42:03 UTC 2019,2008 total (218 in the last 30 days)
posix-paths,13, at Tue Dec 18 15:36:04 UTC 2018,9349 total (348 in the last 30 days)
possibly,1, at Sat Mar 16 00:59:50 UTC 2019,578 total (69 in the last 30 days)
postgresql-binary,33, at Tue Nov 26 09:18:30 UTC 2019,21233 total (954 in the last 30 days)
postgresql-libpq,27, at Mon Sep 24 21:10:34 UTC 2018,44086 total (946 in the last 30 days)
