﻿Name,Url,Version Count
abstract-deque,https://hackage.haskell.org/package/abstract-deque,9
abstract-deque-tests,https://hackage.haskell.org/package/abstract-deque-tests,1
abstract-par,https://hackage.haskell.org/package/abstract-par,3
accuerr,https://hackage.haskell.org/package/accuerr,2
ace,https://hackage.haskell.org/package/ace,7
action-permutations,https://hackage.haskell.org/package/action-permutations,2
active,https://hackage.haskell.org/package/active,35
ad,https://hackage.haskell.org/package/ad,82
adjunctions,https://hackage.haskell.org/package/adjunctions,59
adler32,https://hackage.haskell.org/package/adler32,3
advent-of-code-api,https://hackage.haskell.org/package/advent-of-code-api,20
aeson,https://hackage.haskell.org/package/aeson,76
aeson-attoparsec,https://hackage.haskell.org/package/aeson-attoparsec,1
aeson-better-errors,https://hackage.haskell.org/package/aeson-better-errors,13
aeson-casing,https://hackage.haskell.org/package/aeson-casing,8
aeson-compat,https://hackage.haskell.org/package/aeson-compat,13
aeson-diff,https://hackage.haskell.org/package/aeson-diff,12
aeson-extra,https://hackage.haskell.org/package/aeson-extra,15
aeson-generic-compat,https://hackage.haskell.org/package/aeson-generic-compat,4
aeson-iproute,https://hackage.haskell.org/package/aeson-iproute,4
aeson-picker,https://hackage.haskell.org/package/aeson-picker,6
aeson-pretty,https://hackage.haskell.org/package/aeson-pretty,25
aeson-qq,https://hackage.haskell.org/package/aeson-qq,13
aeson-utils,https://hackage.haskell.org/package/aeson-utils,7
aeson-yak,https://hackage.haskell.org/package/aeson-yak,7
al,https://hackage.haskell.org/package/al,15
alarmclock,https://hackage.haskell.org/package/alarmclock,26
alerts,https://hackage.haskell.org/package/alerts,3
alex,https://hackage.haskell.org/package/alex,28
alg,https://hackage.haskell.org/package/alg,22
algebraic-graphs,https://hackage.haskell.org/package/algebraic-graphs,12
Allure,https://hackage.haskell.org/package/Allure,34
almost-fix,https://hackage.haskell.org/package/almost-fix,4
alsa-core,https://hackage.haskell.org/package/alsa-core,2
alsa-mixer,https://hackage.haskell.org/package/alsa-mixer,8
