package,score
ghc-prim,25.684450953677622
base,22.490869490035724
deepseq,3.1268522340384237
array,2.992173300414241
bytestring,2.8626457581812055
transformers,2.2099848952063694
text,1.6266261225725134
containers,1.573331477073313
integer-gmp,1.0990190672622395
mtl,0.9473941763575233
time,0.9134410199761748
template-haskell,0.7255522985590643
binary,0.5340075761500787
hashable,0.5047711820043661
vector,0.4840711017933793
gogol-core,0.4806032785773277
filepath,0.4666915910626281
unix,0.44081103852316306
amazonka-core,0.4358225871168418
stm,0.43003702170019986
transformers-compat,0.40871296276109786
unordered-containers,0.37888369691428286
directory,0.3782665302845063
pretty,0.36622573912060147
aeson,0.3574609494805125
primitive,0.30986886163374283
exceptions,0.3017574381313022
attoparsec,0.29420718209010155
ghc-boot-th,0.25960625343208477
semigroups,0.23866476050692692
random,0.235849008295294
QuickCheck,0.2244051161135389
parsec,0.21320332443022286
tagged,0.21162464590578922
lens,0.21034282658764297
transformers-base,0.20231868809252745
process,0.200729888722762
scientific,0.19681642506245695
monad-control,0.1840321859125247
network,0.1833780291611701
http-types,0.17502215028482682
blaze-builder,0.16352284384342208
case-insensitive,0.16107687386447947
conduit,0.1525603150057812
resourcet,0.14974721356036486
data-default-class,0.13788652604212281
utf8-string,0.11749332956591747
utility-ht,0.113240099191799
base-compat,0.1130276962991203
dlist,0.11188875815849444
syb,0.10419108279879488
bifunctors,0.10340437607091812
data-default,0.10196786499497346
split,0.10082501902808454
cereal,0.09994049771933632
http-client,0.09994048538987983
old-locale,0.09650947277193696
async,0.09597494373418516
mmorph,0.09166225611832138
wai,0.09143400162184322
semigroupoids,0.09000094588496321
comonad,0.08777666207487768
contravariant,0.08744608953752186
memory,0.08339232715404558
profunctors,0.08129225875496475
base-orphans,0.08043798940201198
base64-bytestring,0.08016620759099208
lifted-base,0.07882912791343083
servant,0.07635055649244593
validity,0.07536116899500486
ansi-terminal,0.07508030664616033
optparse-applicative,0.07250838285062158
conduit-extra,0.06792481817450756
distributive,0.06649931353932863
blaze-html,0.06646304398361186
HUnit,0.06619003865140657
void,0.0660575261677685
call-stack,0.06490569767787185
cryptonite,0.06419395075493352
network-uri,0.06322427229042837
http-api-data,0.061529162951897844
safe,0.061433552921757555
byteable,0.061116397862357154
pipes,0.06087588887014052
colour,0.05952170390017378
http-media,0.05741741278379456
haskell-src-exts,0.05454215931609289
blaze-markup,0.05400082442593011
http-conduit,0.052086738908516346
tasty,0.052054568862580496
ghc,0.05092194247950138
ansi-wl-pprint,0.05031755531267087
xml-conduit,0.0500955871208928
old-time,0.04939717058746712
th-abstraction,0.04911320455153731
free,0.04730740689617646
Cabal,0.04704336147073504
clock,0.04679297110456561
xml-types,0.04610534125426135
accelerate,0.04595021245037831
base-prelude,0.04588644476432827
microlens,0.04489105253805824
http-client-tls,0.044488979668556805
time-locale-compat,0.04437201088665061
storable-complex,0.04432415722960129
constraints,0.04375695185879706
zlib,0.04368262623671776
tf-random,0.04340150050902261
extensible-exceptions,0.042888719577380274
hmatrix,0.042582395246997536
uuid-types,0.042114582167541235
uuid,0.04199019493374725
hspec,0.041134813257038556
safe-exceptions,0.04086151279336507
mwc-random,0.0403121861571864
regex-base,0.04027516390796447
postgresql-simple,0.03899139314335532
hxt,0.03867453967103111
cmdargs,0.03734796605560721
parallel,0.03728717633379092
genvalidity,0.037251801122765764
StateVar,0.03696813848780788
haskell-src-meta,0.03688065992759161
basement,0.03646014515090671
cryptohash,0.0358578010851462
yaml,0.03560747381801481
data-accessor,0.034880428695917634
foundation,0.03473609342638679
unix-compat,0.033775208482506945
base16-bytestring,0.03363593192807689
prettyprinter,0.03357723992139035
temporary,0.03332794816800721
uniplate,0.033199541458624984
asn1-types,0.0331977905857397
path,0.032851592149651325
hourglass,0.03279308301987036
vault,0.03276875595360041
JuicyPixels,0.0327542144581498
entropy,0.032745540127963824
cuda,0.03246336103805249
biocore,0.0323626599250988
bytestring-builder,0.03213930169917022
securemem,0.03205188289852922
unliftio-core,0.03204063560649278
warp,0.032034249631265325
integer-logarithms,0.031916312335971184
io-streams,0.03157745209924013
monad-logger,0.03091127581406795
resource-pool,0.030863531389002573
singletons,0.030698769729096975
storable-record,0.030547371068768626
yesod-core,0.03054440184791083
regex-tdfa,0.03039546128081545
data-default-instances-containers,0.03018963691475867
data-default-instances-dlist,0.03018963691475867
data-default-instances-old-locale,0.03018963691475867
shakespeare,0.02987992653835336
streaming-commons,0.0297997123744561
crypto-api,0.02961597749708419
persistent,0.029227034855386694
HsOpenSSL,0.02907424388139135
MonadRandom,0.029063620506283267
bindings-DSL,0.028946482134264068
protolude,0.028718875398119206
hspec-core,0.028577265645465838
system-filepath,0.02847593725644605
generic-deriving,0.028364434674356263
either,0.028352073680612058
megaparsec,0.0282561052983844
extra,0.02811252512572553
pretty-show,0.02806068886352439
X11,0.027969862439828224
tls,0.02790471640440334
regex-posix,0.027734646070550355
wl-pprint-text,0.02763616168539734
conduit-combinators,0.027530625667964985
explicit-exception,0.027415378864691874
linear,0.027293569168091995
cpphs,0.02718163648554397
parsers,0.027128225185927307
tagsoup,0.026966250492023048
hspec-expectations,0.026777210241447292
lucid,0.026713008290443763
convertible,0.026615557205031233
asn1-encoding,0.026611456648569013
crypto-cipher-types,0.02653244490063681
hashtables,0.026433280193340812
connection,0.02632240337843863
atomic-primops,0.026115436801175174
fail,0.02610126045815654
file-embed,0.02596132062072593
th-lift,0.025685230365046833
kan-extensions,0.025593091123198422
writer-cps-transformers,0.025579585521772977
cookie,0.025550794970093837
websockets,0.025548514155734097
x509,0.02541816610560929
hxt-charproperties,0.02507158580371127
operational,0.024883477805066927
reflection,0.024704168217937188
servant-server,0.02463235828569626
aeson-pretty,0.024346534293641597
vector-algorithms,0.02421036795906107
data-binary-ieee754,0.02413897132573902
netlib-ffi,0.02412871428998188
test-framework,0.023726450747738725
generics-sop,0.023698089297369784
HTTP,0.023580355785242865
path-pieces,0.02347535111008861
markdown-unlit,0.023262392239590344
hw-prim,0.02298564632144376
string-conversions,0.02298041099370391
ieee754,0.02296021320915496
wai-extra,0.02282047161629229
microlens-platform,0.022708028100988827
foldl,0.022665726764320243
adjunctions,0.02266211212086835
carray,0.022525725971160017
th-lift-instances,0.022427786315277816
jsaddle-dom,0.02235024976544083
monads-tf,0.022206110586483464
math-functions,0.022170441585521592
fast-logger,0.02209682649037475
terminfo,0.022086160711841593
th-orphans,0.02203619397583937
xml,0.021944888171153056
universe-instances-base,0.0218585507082753
HDBC,0.021799007632653238
half,0.021752220369751545
lens-family,0.021672113974673276
monad-loops,0.02165729185104707
microlens-th,0.02156264428235364
mime-types,0.021561729344352
mono-traversable,0.021555390742754733
x509-store,0.021514145796997407
smallcheck,0.021490288890600593
repa,0.021456616887954034
hvect,0.02120751655051721
web-routes,0.02105264264944709
byteorder,0.02104512026120021
stm-chans,0.021030570207821807
text-format,0.020944254359819316
fingertree,0.020835933699815404
references,0.020800558853685484
pem,0.020720925453617194
stringable,0.02067967784178911
universe-base,0.020673371942830282
snap-core,0.020550259311876515
errors,0.020540353325549404
yi-rope,0.020516263307142606
base-unicode-symbols,0.020512910564430067
mwc-probability,0.020503805558741612
network-transport,0.02035858593619197
MemoTrie,0.020233629226820243
hedgehog,0.02022999983280898
pipes-parse,0.020195933667583685
uri-bytestring,0.020163588408429235
lifted-async,0.02016222938007131
hspec-discover,0.02005373148266255
proto-lens,0.01983989564600052
free-vl,0.019801964770143968
titlecase,0.019801964770143968
newtype-generics,0.01965266458988196
ghc-paths,0.01957163007647381
double-conversion,0.019492893445703388
OpenGL,0.019489492672795265
leancheck,0.01946860797004775
strict,0.019439783387119644
gloss,0.019430830989139412
yi-core,0.01937322003331247
monoid-subclasses,0.019370678662658073
psqueues,0.019244081210396044
diagrams-lib,0.01920860724016758
ekg-core,0.019199244577503133
fgl,0.019154449956656664
polyparse,0.019129569921101396
SHA,0.019041081529333304
servant-client,0.018999881036078713
unbounded-delays,0.018914155198113746
HaXml,0.01885694202637778
word8,0.01883330169484561
GLUT,0.01877296822286848
email-validate,0.018758466536631623
happstack-server,0.018701785933226356
vector-th-unbox,0.018657831721641434
servant-foreign,0.01865499440675254
bmp,0.018636060388977662
numtype-dk,0.018634285297448525
hw-bits,0.018567431200564026
mtl-compat,0.01847608555139417
hasql,0.01841103738215495
hsyslog,0.018304395293816934
natural-transformation,0.018285027858448755
bytes,0.01823407173860939
auto-update,0.018177457186142526
cli,0.018137376484825263
random-fu,0.01813214274123312
groups,0.018116770154138786
groom,0.018076406182798245
doctest,0.018065801782706246
