Name,PR,Rank,NormRank,LTS
ghc-prim,25.684450953677622,1,0.0003755163349605708,10
base,22.490869490035724,2,0.0007510326699211416,10
deepseq,3.1268522340384237,3,0.0011265490048817123,10
array,2.992173300414241,4,0.0015020653398422831,10
bytestring,2.8626457581812055,5,0.001877581674802854,10
transformers,2.2099848952063694,6,0.0022530980097634247,10
text,1.6266261225725134,7,0.0026286143447239955,10
containers,1.573331477073313,8,0.0030041306796845663,10
integer-gmp,1.0990190672622395,9,0.003379647014645137,10
mtl,0.9473941763575233,10,0.003755163349605708,10
time,0.9134410199761748,11,0.004130679684566279,10
template-haskell,0.7255522985590643,12,0.004506196019526849,10
binary,0.5340075761500787,13,0.00488171235448742,10
hashable,0.5047711820043661,14,0.005257228689447991,10
vector,0.4840711017933793,15,0.005632745024408562,10
gogol-core,0.4806032785773277,16,0.0060082613593691325,10
filepath,0.4666915910626281,17,0.006383777694329703,10
unix,0.44081103852316306,18,0.006759294029290274,10
amazonka-core,0.4358225871168418,19,0.007134810364250845,10
stm,0.43003702170019986,20,0.007510326699211416,10
transformers-compat,0.40871296276109786,21,0.007885843034171986,10
unordered-containers,0.37888369691428286,22,0.008261359369132557,10
directory,0.3782665302845063,23,0.008636875704093128,10
pretty,0.36622573912060147,24,0.009012392039053699,10
aeson,0.3574609494805125,25,0.00938790837401427,10
primitive,0.30986886163374283,26,0.00976342470897484,10
exceptions,0.3017574381313022,27,0.010138941043935411,10
attoparsec,0.29420718209010155,28,0.010514457378895982,10
ghc-boot-th,0.25960625343208477,29,0.010889973713856553,10
semigroups,0.23866476050692692,30,0.011265490048817123,10
random,0.235849008295294,31,0.011641006383777694,10
QuickCheck,0.2244051161135389,32,0.012016522718738265,10
parsec,0.21320332443022286,33,0.012392039053698836,10
tagged,0.21162464590578922,34,0.012767555388659407,10
lens,0.21034282658764297,35,0.013143071723619977,10
transformers-base,0.20231868809252745,36,0.013518588058580548,10
process,0.200729888722762,37,0.013894104393541119,10
scientific,0.19681642506245695,38,0.01426962072850169,10
monad-control,0.1840321859125247,39,0.01464513706346226,10
network,0.1833780291611701,40,0.015020653398422831,10
