package,score
ghc-prim,16.333465704252667
base,14.24720875428539
bytestring,2.086821046449421
deepseq,2.0372614015970103
array,1.9715919001828002
transformers,1.4832302700626403
text,1.0368267806147529
containers,1.0295294412951885
integer-gmp,0.7594818889064298
mtl,0.7147420021236042
time,0.6142822629365412
template-haskell,0.4347252679627707
unix,0.35554659537534244
filepath,0.35058257790131886
binary,0.3498043881184613
pretty,0.31532774408932096
amazonka-core,0.3072828442517807
directory,0.30154375575783865
hashable,0.29692845058156453
vector,0.2919392688814162
stm,0.26960051779784994
unordered-containers,0.24689948428127106
transformers-compat,0.21812992847189558
aeson,0.1975093233435945
attoparsec,0.18585449389506015
process,0.17289376271423676
primitive,0.16856259866387724
parsec,0.15866588770914125
exceptions,0.15864741513199607
blaze-builder,0.1577700577720679
random,0.1576944065553832
tagged,0.15337568388233658
semigroups,0.1513398196306069
network,0.1491325016443105
transformers-base,0.14277010120805422
monad-control,0.12870602675480086
http-types,0.11894309268560717
conduit,0.11143069020820855
lens,0.10919868589289886
syb,0.10713933600700494
resourcet,0.10374240202347934
data-default-class,0.10107048052442277
QuickCheck,0.09713338723442495
scientific,0.09661601107574128
old-locale,0.0941508925922941
case-insensitive,0.09146246275773313
utf8-string,0.08802884033286822
wai,0.08786290292336482
cereal,0.08137007474162625
lifted-base,0.07323988329734317
data-default,0.07316938555980157
byteable,0.06852285027038467
mmorph,0.06655516114302913
pipes,0.06455823571659172
semigroupoids,0.06420044258101258
comonad,0.06264424511050978
split,0.06227633247793301
contravariant,0.061311144432875046
async,0.060383803426429405
base64-bytestring,0.05883494542290358
blaze-html,0.0578214124461605
conduit-extra,0.05780083705552077
HUnit,0.05665371752824942
blaze-markup,0.05592249281359521
bifunctors,0.05589777548708892
old-time,0.054357654101253476
dlist,0.053760526313238285
memory,0.05192438668444396
http-client,0.05053969979791869
distributive,0.04916840304360729
ansi-terminal,0.048185566980368764
profunctors,0.047189667100989624
optparse-applicative,0.04712796945518341
network-uri,0.046131055839369314
safe,0.04611440185116504
cryptohash,0.04558917473599235
Cabal,0.0441417127227808
http-conduit,0.04384856808315687
tasty,0.04363154116520534
void,0.043090600772111486
haskell-src-exts,0.04219573621994925
fay-base,0.04019934115931392
free,0.039570307658427874
zlib,0.03945752630591468
hxt,0.0390583540862737
fay,0.0385457355483195
extensible-exceptions,0.038015757171237285
xml-types,0.03751507861337034
yesod-core,0.03751432652197709
xml-conduit,0.03717212932646376
unix-compat,0.036879868583571854
regex-base,0.03553571909122551
biocore,0.034324073423514484
securemem,0.03425414157376387
asn1-types,0.03269989641033952
cryptonite,0.0326978397532411
http-client-tls,0.0326356389561372
base-compat,0.032434644927267546
monad-logger,0.03196093500102164
JuicyPixels,0.031912354440061
parallel,0.03154964104177599
shakespeare,0.0311537888385938
either,0.031150284797064706
cmdargs,0.03054642541882814
crypto-api,0.030046123480894887
base-orphans,0.029938132880138153
bindings-DSL,0.02972286875010469
ihaskell,0.02883571981921316
linear,0.028693445552121975
temporary,0.02867093135245386
system-filepath,0.028661149277248374
persistent,0.0283120105275505
tf-random,0.028144619427661884
hourglass,0.028094648034721753
bytestring-builder,0.027926323091971135
MemoTrie,0.027882945414480758
mwc-random,0.027690301787967615
crypto-cipher-types,0.027657374823422315
ansi-wl-pprint,0.02759929162377865
hmatrix,0.02735400720099279
streaming-commons,0.027183203061778023
base-prelude,0.026865239190393273
warp,0.02673447463292611
yaml,0.026718199674093328
regex-posix,0.0264990261063155
hxt-charproperties,0.026455689322531128
asn1-encoding,0.026212342202572677
base16-bytestring,0.026202139241870533
uuid,0.02617188892104163
vault,0.02611991510361875
cpphs,0.025451425313905835
entropy,0.02529717541959913
tagsoup,0.025155003923358933
web-routes,0.025077720043963234
time-locale-compat,0.02503753272797243
types-compat,0.02499825796101505
StateVar,0.024710560484706275
wai-extra,0.02455616646315643
safecopy,0.024328493656352392
path-pieces,0.024322020916419693
haskell-src-meta,0.024290402897540656
tls,0.023534758114408458
happstack-server,0.02324426646393648
hspec-core,0.023165810023201637
apiary,0.023111634338565643
resource-pool,0.023032848421735364
microlens,0.0225942798331643
monad-loops,0.022508083438798978
ghc-paths,0.022491803437987356
glib,0.02239546836137311
data-default-instances-base,0.022072948191881825
data-default-instances-containers,0.022072948191881825
data-default-instances-dlist,0.022072948191881825
data-default-instances-old-locale,0.022072948191881825
http-media,0.0220366608726166
fgl,0.021971276483513408
universe-instances-base,0.0218585507082753
connection,0.02177183547336419
MonadRandom,0.0216490545324812
stringable,0.02164619599797599
fast-logger,0.02157742428849139
uniplate,0.02154704491083799
ghc-tcplugins-extra,0.021393800188755006
hashtables,0.021353592402806373
cookie,0.021258227299578197
test-framework,0.02118189968750813
pipes-parse,0.021059905556591964
colour,0.020994058454671408
SHA,0.020954665452497325
