package,score
ghc-prim,7.980608624476877
base,6.964578134435335
bytestring,1.008515241137784
array,0.9112116326408617
deepseq,0.8426321032652656
transformers,0.6462317582644563
containers,0.5513409345093935
text,0.44203798826409246
integer-gmp,0.3740910452485315
mtl,0.3579887031140587
time,0.3010870038936769
template-haskell,0.20598956422029607
old-locale,0.17448419125259837
unix,0.1724791435499955
filepath,0.1661347380656048
directory,0.14559277372126167
hashable,0.1424201199224025
pretty,0.13878986170182142
vector,0.12180355355929269
stm,0.11451727891741079
random,0.10602538462819397
transformers-base,0.09350259669689667
semigroups,0.0913062146082594
parsec,0.09092516444470129
blaze-builder,0.08707511411150334
unordered-containers,0.08698158915136783
attoparsec,0.08509854588380959
network,0.08472168518908894
monad-control,0.08262333379813222
binary,0.07979213640502544
primitive,0.07635950854882285
process,0.07373503088418198
tagged,0.07181809642273117
QuickCheck,0.06723141904736415
syb,0.06393823772714458
semigroupoids,0.0631539046583585
data-default-class,0.05989813115581371
conduit,0.059607053269420396
aeson,0.05916456482395798
byteable,0.05900151747569883
cereal,0.057051790778351014
comonad,0.051120283482049465
resourcet,0.05030978952606949
utf8-string,0.049350938188364654
lifted-base,0.045583505705439245
exceptions,0.044303089439158894
old-time,0.042022681856697004
data-default,0.04191976852715496
void,0.04107633461738939
wai,0.040996748304247675
transformers-compat,0.040516071821353326
http-types,0.04034961017600278
distributive,0.04031640082560777
fay-base,0.04017354910029099
fay,0.038895861341039575
system-filepath,0.03865508977448968
HUnit,0.03791245864240544
scientific,0.03633855655962631
async,0.03591338255746923
case-insensitive,0.03505745924172337
shakespeare,0.03458954732217524
base-unicode-symbols,0.03373958430038838
securemem,0.03310964672829321
mmorph,0.03270017392547364
safe,0.03212097346096698
biocore,0.03205016994266772
blaze-markup,0.03182445852984178
base64-bytestring,0.03134103555683378
lens,0.030668035676611045
conduit-extra,0.030014177605767554
cryptohash,0.029323724910664203
ansi-terminal,0.028699085161954473
dlist,0.028458849429336297
contravariant,0.02799542983005556
extensible-exceptions,0.027990648785090774
crypto-cipher-types,0.02760773899233888
zlib,0.027341343643301926
vector-space,0.02714007280155077
split,0.02692677219489393
haskell-src-exts,0.026661474389314647
asn1-types,0.02642996033641899
hxt,0.026198517956826685
blaze-html,0.025448018801712716
nats,0.025114572421186365
