package,score
ghc-prim,19.135644592832108
base,16.716341093586646
deepseq,2.275223407007893
bytestring,2.2512171948606814
array,2.1914279273264112
transformers,1.6766218883789425
text,1.1786806106914658
containers,1.1730621242673123
integer-gmp,0.8519046310389167
mtl,0.8215376001377277
time,0.704929098796832
template-haskell,0.5146757861291678
gogol-core,0.4805910637974739
binary,0.3826195048526335
unix,0.38027299230331013
filepath,0.38008919610566383
amazonka-core,0.3518206965750043
hashable,0.3392529558031497
vector,0.33008581892126565
transformers-compat,0.32102694222436834
directory,0.32087973717952933
stm,0.2918283959390302
pretty,0.27973723954585816
unordered-containers,0.26264478596969
aeson,0.2544829275704333
attoparsec,0.23067551659464663
exceptions,0.20939736199146303
primitive,0.19845083712993228
semigroups,0.18983467793894196
ghc-boot-th,0.18502441192081795
process,0.17827575730166864
parsec,0.17405196892268116
random,0.17309025599542482
lens,0.16376888525622818
transformers-base,0.1629116493944778
tagged,0.16220999876472625
network,0.15845749672479648
blaze-builder,0.1485233713017728
http-types,0.1451576535749997
scientific,0.14016522989591776
QuickCheck,0.1333262495221823
case-insensitive,0.1319348333267549
monad-control,0.13024658439249076
conduit,0.12823094048946218
resourcet,0.12553422216981439
syb,0.1132140737260064
data-default-class,0.10532480347555638
old-locale,0.09667554162376406
memory,0.08888005927435967
bifunctors,0.08759621451203013
utf8-string,0.08632823431236869
dlist,0.08424988802002095
http-client,0.0838388368021736
mmorph,0.08253473723767105
wai,0.08027124412252724
data-default,0.07899615770504778
split,0.07805354628807423
cereal,0.07397917552400159
lifted-base,0.072894711316091
comonad,0.07281287051029008
contravariant,0.07170203125310338
semigroupoids,0.06900951460887308
async,0.06757515390506644
base64-bytestring,0.06689447326118513
pipes,0.06652643125711159
byteable,0.0632535760984123
HUnit,0.06275374274227696
base-compat,0.06200676350087757
optparse-applicative,0.06173321537001122
conduit-extra,0.060815216619249754
network-uri,0.058750531372901114
base-orphans,0.057659150599681706
servant,0.05764252742037756
blaze-html,0.05602568315744509
old-time,0.055735239530324346
ansi-terminal,0.055358589699826884
Cabal,0.05491341023289483
profunctors,0.053255919129742195
distributive,0.05274507163819978
blaze-markup,0.051835503811984124
http-media,0.05078277883973081
void,0.05026921529910248
cryptonite,0.04942030055093574
safe,0.046590177385964576
tasty,0.04355785918021463
free,0.04334344174304065
http-conduit,0.043285467698451194
xml-conduit,0.042501193374795396
haskell-src-exts,0.0421671118940339
http-api-data,0.042019695919021535
fay-base,0.04019934115931392
mwc-random,0.039355071983541094
xml-types,0.03914583039731858
cryptohash,0.03787858642097722
fay,0.037428332128957145
zlib,0.03684390925303955
regex-base,0.03654172851238569
parallel,0.036169422539384294
http-client-tls,0.0358911916859178
tf-random,0.03405497628692129
asn1-types,0.03276690343205863
securemem,0.03247874640603353
time-locale-compat,0.03174982837758351
biocore,0.031046602031238348
ansi-wl-pprint,0.030934502234368628
yesod-core,0.02979454507455469
extensible-exceptions,0.02916750655932179
unix-compat,0.02890719476762125
system-filepath,0.028881227008693243
JuicyPixels,0.028873386101495185
base-prelude,0.028737553945778423
haskell-gi,0.028698900138982478
haskell-gi-base,0.028698900138982478
postgresql-simple,0.02858849144654829
hourglass,0.02840246017012008
bytestring-builder,0.028250448615098536
base16-bytestring,0.028204261219141984
vault,0.028182480665208353
entropy,0.028161409399742952
hxt,0.02807913862872768
temporary,0.02803337512170447
constraints,0.027942254774354004
StateVar,0.027932728045303935
cmdargs,0.027900732759720628
warp,0.027823181959644595
crypto-api,0.027577694666778577
shakespeare,0.027180288219801726
microlens,0.02684260063539355
generic-deriving,0.026748602706689856
crypto-cipher-types,0.02661670705763749
monad-logger,0.026433450734594372
either,0.026318633160820292
asn1-encoding,0.026266055311438285
haskell-src-meta,0.02612400014033577
tls,0.02608444749811711
hmatrix,0.026044042829199254
fail,0.025969671291968064
cpphs,0.02596125964971074
MemoTrie,0.025953370788586682
yaml,0.025805002659409156
streaming-commons,0.025743386229030194
linear,0.02570567768583455
uniplate,0.025654192619868725
data-default-instances-containers,0.02564123924642983
data-default-instances-dlist,0.02564123924642983
data-default-instances-old-locale,0.02564123924642983
clock,0.02548883624515907
lucid,0.025439722116608415
bindings-DSL,0.0253122548622605
regex-tdfa,0.025203288926130708
web-routes,0.025077834920234927
regex-posix,0.024550940271950563
xml,0.02417407517522362
th-lift,0.02404630771181319
fgl,0.023683337829652578
connection,0.023532368374319036
x509,0.023072802285367663
HsOpenSSL,0.023023448142121202
hspec-core,0.02293863886224779
file-embed,0.02291178669722474
safecopy,0.02276802035284505
base-unicode-symbols,0.022348440163623317
markdown-unlit,0.022313431990817496
wai-extra,0.022284096245381507
hashtables,0.022178354456587585
path-pieces,0.022057812726343606
glib,0.021895153912915917
test-framework,0.0218633499974385
universe-instances-base,0.0218585507082753
singletons,0.02183342147941816
errors,0.0218123044042298
uuid,0.02177270320856942
cookie,0.021659748873910742
MonadRandom,0.02159915437374551
happstack-server,0.021587950511827228
hspec,0.02155809080957416
hspec-expectations,0.021534322640169346
data-binary-ieee754,0.02141518588101173
reflection,0.02141469747561882
mwc-probability,0.02122240831231467
tagsoup,0.02112375758377514
persistent,0.020817488676228943
gi-glib,0.020771851218713663
universe-base,0.020673371942830282
path,0.02046253401887708
storable-complex,0.020448461479970377
io-streams,0.02035822768873914
SHA,0.02030416901789247
diagrams-lib,0.020301469531550546
