Name,PR,Rank,NormRank,LTS
ghc-prim,19.229927485890176,1,0.000502008032128514,6
base,16.79643858852916,2,0.001004016064257028,6
bytestring,2.4168364045914905,3,0.0015060240963855422,6
deepseq,2.408470111558886,4,0.002008032128514056,6
array,2.3173421701740504,5,0.0025100401606425703,6
transformers,1.787114405194941,6,0.0030120481927710845,6
text,1.2511962673509045,7,0.0035140562248995983,6
containers,1.2362435230391224,8,0.004016064257028112,6
integer-gmp,0.8862756518157455,9,0.004518072289156626,6
mtl,0.858219333872954,10,0.0050200803212851405,6
time,0.7337608069993194,11,0.005522088353413655,6
template-haskell,0.5220618366803941,12,0.006024096385542169,6
binary,0.43716458711121764,13,0.006526104417670682,6
filepath,0.4223218799350414,14,0.007028112449799197,6
unix,0.40801712331041756,15,0.007530120481927711,6
pretty,0.36560626775649474,16,0.008032128514056224,6
vector,0.3623691737743278,17,0.00853413654618474,6
directory,0.35443000775940514,18,0.009036144578313253,6
hashable,0.3441526128273013,19,0.009538152610441768,6
amazonka-core,0.34320838096471257,20,0.010040160642570281,6
stm,0.3138993806533873,21,0.010542168674698794,6
unordered-containers,0.2917392042628413,22,0.01104417670682731,6
transformers-compat,0.2757796648010969,23,0.011546184738955823,6
aeson,0.2515045923927243,24,0.012048192771084338,6
semigroups,0.21954202203921852,25,0.012550200803212851,6
attoparsec,0.2136828495453081,26,0.013052208835341365,6
primitive,0.20094013345921521,27,0.01355421686746988,6
process,0.2008623494740318,28,0.014056224899598393,6
parsec,0.19393389934561278,29,0.014558232931726908,6
exceptions,0.19224454738752828,30,0.015060240963855422,6
random,0.18503414277694816,31,0.015562248995983935,6
tagged,0.17988573825820073,32,0.01606425702811245,6
blaze-builder,0.17741103583057768,33,0.016566265060240965,6
network,0.1729890938671205,34,0.01706827309236948,6
transformers-base,0.16350006718518006,35,0.017570281124497992,6
monad-control,0.1400616004976568,36,0.018072289156626505,6
http-types,0.13797743165473142,37,0.01857429718875502,6
lens,0.12826963249730117,38,0.019076305220883535,6
conduit,0.1220673265245104,39,0.01957831325301205,6
data-default-class,0.11975931154985558,40,0.020080321285140562,6
resourcet,0.117201133819685,41,0.020582329317269075,6
syb,0.11587136440952121,42,0.02108433734939759,6
scientific,0.10926677087715778,43,0.021586345381526106,6
QuickCheck,0.10682744688157056,44,0.02208835341365462,6
case-insensitive,0.1037775339255081,45,0.022590361445783132,6
old-locale,0.10012402813472665,46,0.023092369477911646,6
utf8-string,0.0965110519868441,47,0.02359437751004016,6
wai,0.09368108675536176,48,0.024096385542168676,6
data-default,0.08064023442584223,49,0.02459839357429719,6
mmorph,0.08043236761280496,50,0.025100401606425703,6
split,0.07894305393791994,51,0.025602409638554216,6
cereal,0.07855184088005492,52,0.02610441767068273,6
comonad,0.07683374312976578,53,0.026606425702811246,6
lifted-base,0.07536204697082904,54,0.02710843373493976,6
base64-bytestring,0.07396528117222476,55,0.027610441767068273,6
contravariant,0.07330557400451095,56,0.028112449799196786,6
async,0.07264555786346424,57,0.0286144578313253,6
semigroupoids,0.07255038144293231,58,0.029116465863453816,6
pipes,0.07156194737746502,59,0.02961847389558233,6
memory,0.06907425404343054,60,0.030120481927710843,6
blaze-html,0.06852800218093234,61,0.030622489959839357,6
dlist,0.06706335226129083,62,0.03112449799196787,6
byteable,0.06665934560956839,63,0.03162650602409638,6
conduit-extra,0.0646746149594475,64,0.0321285140562249,6
bifunctors,0.063500803067728,65,0.03263052208835342,6
