async-timer,2, at Wed Feb 28 20:40:09 UTC 2018,1620 total (145 in the last 30 days)
atom-basic,7, at Sat Jun  3 14:57:02 UTC 2017,4437 total (253 in the last 30 days)
atomic-primops,22, at Thu May  2 19:30:53 UTC 2019,22047 total (868 in the last 30 days)
atomic-write,9, at Thu Nov 21 20:49:27 UTC 2019,6076 total (446 in the last 30 days)
attoparsec,54, at Sat Aug 31 09:37:50 UTC 2019,371888 total (2697 in the last 30 days)
attoparsec-base64,0, at Fri Nov 24 15:36:53 UTC 2017,708 total (37 in the last 30 days)
attoparsec-binary,2, at Sat Sep 22 20:06:35 UTC 2012,6274 total (205 in the last 30 days)
attoparsec-expr,3, at Mon May 11 09:44:12 UTC 2015,3536 total (96 in the last 30 days)
attoparsec-ip,6, at Wed Nov 14 01:58:35 UTC 2018,2179 total (128 in the last 30 days)
attoparsec-iso8601,1, at Mon Sep 24 01:53:05 UTC 2018,17564 total (409 in the last 30 days)
attoparsec-path,1, at Thu Sep 28 17:25:26 UTC 2017,1238 total (91 in the last 30 days)
attoparsec-uri,8, at Thu Nov  8 07:26:27 UTC 2018,3846 total (316 in the last 30 days)
audacity,6, at Mon Apr 16 20:05:50 UTC 2018,2793 total (160 in the last 30 days)
aur,23, at Tue Jan 28 17:28:07 UTC 2020,12179 total (775 in the last 30 days)
authenticate,83, at Sat Nov 16 15:30:56 UTC 2019,85211 total (2375 in the last 30 days)
authenticate-oauth,25, at Tue Oct 22 06:17:22 UTC 2019,25921 total (942 in the last 30 days)
auto,14, at Sat Jan 14 04:51:39 UTC 2017,8601 total (512 in the last 30 days)
autoexporter,21, at Fri Nov  8 13:40:57 UTC 2019,12718 total (590 in the last 30 days)
auto-update,15, at Tue Jul  9 07:41:02 UTC 2019,75315 total (883 in the last 30 days)
avers,17, at Wed Dec 28 19:20:11 UTC 2016,13278 total (576 in the last 30 days)
avers-api,8, at Sun Sep 17 18:06:03 UTC 2017,4738 total (265 in the last 30 days)
avers-server,10, at Fri Oct 26 15:48:53 UTC 2018,5565 total (326 in the last 30 days)
avro,44, at Tue Feb 25 03:17:24 UTC 2020,14736 total (1868 in the last 30 days)
avwx,5, at Sat Oct  1 11:03:26 UTC 2016,2726 total (156 in the last 30 days)
aws-cloudfront-signed-cookies,3, at Mon Jun 17 21:43:14 UTC 2019,1344 total (144 in the last 30 days)
aws-lambda-haskell-runtime,11, at Thu Jan 16 11:01:27 UTC 2020,3027 total (359 in the last 30 days)
backprop,21, at Tue Aug 13 08:57:05 UTC 2019,7927 total (601 in the last 30 days)
bank-holidays-england,11, at Mon Mar  2 18:22:29 UTC 2020,5649 total (468 in the last 30 days)
barbies,13, at Sun Jan 12 14:59:52 UTC 2020,4328 total (328 in the last 30 days)
barrier,1, at Mon Dec 12 16:19:13 UTC 2016,1882 total (64 in the last 30 days)
base,27, at Sun Sep 23 21:33:21 UTC 2018,40365 total (1280 in the last 30 days)
base16-bytestring,7, at Fri Jan 17 23:09:16 UTC 2014,81589 total (647 in the last 30 days)
base32string,1, at Wed May 27 09:10:08 UTC 2015,1725 total (78 in the last 30 days)
base58string,2, at Sun May 10 04:29:20 UTC 2015,2283 total (99 in the last 30 days)
base64-bytestring,11, at Mon Jan 13 18:26:48 UTC 2020,230504 total (966 in the last 30 days)
base64-bytestring-type,1, at Wed Mar 27 23:34:39 UTC 2019,1052 total (90 in the last 30 days)
base64-string,1, at Fri Feb 26 15:04:53 UTC 2010,5056 total (140 in the last 30 days)
base-compat,32, at Mon Jan 27 14:16:26 UTC 2020,140808 total (1872 in the last 30 days)
base-compat-batteries,7, at Mon Jan 27 14:16:37 UTC 2020,7293 total (606 in the last 30 days)
basement,11, at Sun Jul 14 14:57:05 UTC 2019,37849 total (1085 in the last 30 days)
base-noprelude,19, at Mon Aug 26 20:23:19 UTC 2019,11296 total (778 in the last 30 days)
base-orphans,23, at Mon Jan 27 14:15:37 UTC 2020,99237 total (1141 in the last 30 days)
base-prelude,32, at Tue Jun  5 12:31:27 UTC 2018,37651 total (1046 in the last 30 days)
base-unicode-symbols,21, at Wed Jul 10 11:35:38 UTC 2019,99443 total (794 in the last 30 days)
