lockfree-queue,4, at Fri Feb  6 22:03:22 UTC 2015,3905 total (214 in the last 30 days)
log-base,6, at Tue Apr  9 16:25:20 UTC 2019,3837 total (211 in the last 30 days)
log-domain,30, at Thu Nov 21 13:40:27 UTC 2019,20804 total (802 in the last 30 days)
logfloat,24, at Fri Oct  2 20:20:26 UTC 2015,18315 total (641 in the last 30 days)
logger-thread,2, at Sat Dec 24 04:47:39 UTC 2016,1597 total (87 in the last 30 days)
logging-effect,22, at Sat Jan 25 12:37:22 UTC 2020,8249 total (580 in the last 30 days)
logging-facade,4, at Thu Jun  1 13:24:21 UTC 2017,6678 total (219 in the last 30 days)
logging-facade-syslog,0, at Mon May 15 09:12:04 UTC 2017,760 total (40 in the last 30 days)
logict,17, at Fri Jul 19 20:37:58 UTC 2019,43055 total (703 in the last 30 days)
loop,2, at Thu Sep  3 21:03:32 UTC 2015,9260 total (188 in the last 30 days)
loopbreaker,1, at Fri Oct  4 18:34:54 UTC 2019,408 total (65 in the last 30 days)
lrucache,15, at Thu Nov 29 03:27:46 UTC 2018,27472 total (666 in the last 30 days)
lrucaching,6, at Fri Jan 12 13:19:00 UTC 2018,4129 total (285 in the last 30 days)
lsp-test,27, at Tue Feb  4 23:36:26 UTC 2020,7089 total (767 in the last 30 days)
lucid,30, at Sun Nov  3 12:21:12 UTC 2019,22985 total (953 in the last 30 days)
lucid-extras,4, at Tue Feb 19 11:51:48 UTC 2019,1709 total (118 in the last 30 days)
lxd-client-config,1, at Wed Oct 18 09:30:14 UTC 2017,1233 total (70 in the last 30 days)
lzma,3, at Sun Oct 23 20:54:26 UTC 2016,3911 total (221 in the last 30 days)
lzma-conduit,20, at Sun Feb 11 16:52:28 UTC 2018,12642 total (571 in the last 30 days)
machines,21, at Fri May 10 14:17:40 UTC 2019,19384 total (751 in the last 30 days)
machines-binary,3, at Mon Sep 19 12:44:08 UTC 2016,2063 total (94 in the last 30 days)
machines-directory,9, at Wed Mar  8 22:24:56 UTC 2017,7006 total (253 in the last 30 days)
machines-io,9, at Sun Sep 11 01:22:53 UTC 2016,6857 total (264 in the last 30 days)
magico,6, at Fri May 24 20:19:53 UTC 2019,2669 total (192 in the last 30 days)
mainland-pretty,30, at Fri Oct  4 17:23:09 UTC 2019,22042 total (873 in the last 30 days)
main-tester,2, at Tue Mar 19 08:57:27 UTC 2019,984 total (79 in the last 30 days)
makefile,12, at Mon Oct 23 11:41:57 UTC 2017,5769 total (332 in the last 30 days)
managed,8, at Wed Jan 22 03:14:36 UTC 2020,10403 total (385 in the last 30 days)
markdown,29, at Thu Sep 20 09:58:05 UTC 2018,20611 total (967 in the last 30 days)
markdown-unlit,8, at Fri Dec 15 05:05:35 UTC 2017,7373 total (249 in the last 30 days)
markov-chain,6, at Thu Jul 14 08:03:16 UTC 2016,8079 total (242 in the last 30 days)
massiv,34, at Sun Feb 16 00:21:03 UTC 2020,11153 total (1481 in the last 30 days)
massiv-io,11, at Wed Mar  4 00:09:31 UTC 2020,3130 total (525 in the last 30 days)
massiv-test,3, at Sun Feb 16 00:21:33 UTC 2020,563 total (179 in the last 30 days)
mathexpr,3, at Fri Nov  4 19:05:24 UTC 2016,1752 total (110 in the last 30 days)
math-functions,20, at Tue Sep 24 08:14:59 UTC 2019,57237 total (1020 in the last 30 days)
matplotlib,18, at Sun Oct 13 01:01:04 UTC 2019,7295 total (623 in the last 30 days)
matrices,10, at Fri Dec 21 01:26:06 UTC 2018,8205 total (362 in the last 30 days)
matrix,19, at Sun Mar 18 09:23:24 UTC 2018,20689 total (611 in the last 30 days)
matrix-market-attoparsec,13, at Sun Jan 19 10:11:24 UTC 2020,4648 total (428 in the last 30 days)
matrix-static,4, at Tue Feb 18 03:47:13 UTC 2020,1176 total (200 in the last 30 days)
maximal-cliques,1, at Sun Mar 22 21:35:39 UTC 2015,1816 total (92 in the last 30 days)
mbox,5, at Wed Aug 16 16:20:15 UTC 2017,4686 total (234 in the last 30 days)
mbtiles,4, at Sat Sep  2 19:11:27 UTC 2017,2280 total (127 in the last 30 days)
mcmc-types,3, at Sun Dec  4 09:19:48 UTC 2016,2454 total (119 in the last 30 days)
median-stream,6, at Thu Nov 24 16:59:32 UTC 2016,3339 total (182 in the last 30 days)
megaparsec,30, at Thu Nov  7 20:09:26 UTC 2019,40423 total (1724 in the last 30 days)
megaparsec-tests,1, at Thu Nov  7 20:56:24 UTC 2019,467 total (83 in the last 30 days)
mega-sdist,28, at Mon Jul 15 08:06:28 UTC 2019,14764 total (680 in the last 30 days)
memory,32, at Thu Sep  5 04:24:19 UTC 2019,104258 total (2109 in the last 30 days)
MemoTrie,25, at Sat Nov 30 03:39:16 UTC 2019,52230 total (947 in the last 30 days)
menshen,4, at Mon Apr  1 08:54:53 UTC 2019,1048 total (103 in the last 30 days)
mercury-api,2, at Wed Jan  9 20:33:36 UTC 2019,1802 total (103 in the last 30 days)
merkle-tree,1, at Wed Nov 21 17:18:48 UTC 2018,1103 total (79 in the last 30 days)
mersenne-random-pure64,8, at Mon Aug 29 13:53:32 UTC 2016,19130 total (387 in the last 30 days)
messagepack,10, at Thu Dec  1 19:42:13 UTC 2016,7416 total (308 in the last 30 days)
metrics,8, at Wed Aug  9 03:38:20 UTC 2017,4817 total (244 in the last 30 days)
mfsolve,5, at Mon Jan 11 22:25:24 UTC 2016,4763 total (218 in the last 30 days)
microformats2-parser,12, at Tue Jul 10 20:20:59 UTC 2018,5890 total (356 in the last 30 days)
microlens,37, at Fri Jul  5 21:38:45 UTC 2019,46965 total (1859 in the last 30 days)
microlens-aeson,14, at Thu May  9 19:30:56 UTC 2019,6401 total (509 in the last 30 days)
microlens-contra,2, at Mon Oct  1 13:33:10 UTC 2018,1657 total (120 in the last 30 days)
microlens-ghc,22, at Wed Jan 29 00:01:36 UTC 2020,18781 total (934 in the last 30 days)
microlens-mtl,19, at Thu Jun 20 06:00:47 UTC 2019,26952 total (737 in the last 30 days)
microlens-platform,28, at Wed Jan 29 00:01:46 UTC 2020,21752 total (1099 in the last 30 days)
microlens-process,8, at Sat Sep 28 15:31:39 UTC 2019,1777 total (327 in the last 30 days)
microlens-th,26, at Wed Jan 29 00:01:13 UTC 2020,30983 total (1107 in the last 30 days)
microspec,7, at Sat Nov 10 20:10:25 UTC 2018,1932 total (109 in the last 30 days)
microstache,2, at Thu Jul 20 19:26:30 UTC 2017,8984 total (288 in the last 30 days)
midair,4, at Sat Nov 10 20:20:47 UTC 2018,2250 total (162 in the last 30 days)
midi,26, at Fri Feb 16 21:22:40 UTC 2018,17446 total (1094 in the last 30 days)
midi-music-box,7, at Sat Jul  6 07:16:24 UTC 2019,3717 total (246 in the last 30 days)
mighty-metropolis,6, at Wed Dec 21 21:14:54 UTC 2016,3487 total (213 in the last 30 days)
mime-mail,39, at Sat Apr  6 16:45:31 UTC 2019,62794 total (1170 in the last 30 days)
mime-mail-ses,27, at Wed Apr 18 07:19:56 UTC 2018,16520 total (771 in the last 30 days)
mime-types,9, at Sun Dec 23 10:33:55 UTC 2018,139865 total (657 in the last 30 days)
minimorph,9, at Mon Mar  2 20:15:34 UTC 2020,8753 total (399 in the last 30 days)
minio-hs,16, at Thu Jan  2 19:25:28 UTC 2020,5684 total (483 in the last 30 days)
miniutter,10, at Mon Mar  2 20:42:24 UTC 2020,8992 total (423 in the last 30 days)
mintty,3, at Mon May  7 23:36:30 UTC 2018,16250 total (271 in the last 30 days)
miso,46, at Sat Nov 16 04:25:07 UTC 2019,19001 total (1463 in the last 30 days)
missing-foreign,1, at Sun Apr  3 21:06:33 UTC 2011,4000 total (81 in the last 30 days)
MissingH,25, at Mon May 20 08:00:40 UTC 2019,57081 total (1163 in the last 30 days)
mixed-types-num,15, at Wed Apr 10 23:47:26 UTC 2019,5077 total (289 in the last 30 days)
mltool,4, at Sun Jun 10 15:49:31 UTC 2018,2162 total (140 in the last 30 days)
mmap,12, at Thu Sep  5 16:17:54 UTC 2013,29794 total (597 in the last 30 days)
mmark,23, at Mon Nov 25 20:12:07 UTC 2019,9319 total (931 in the last 30 days)
mmark-cli,4, at Fri Nov  9 15:46:57 UTC 2018,1806 total (185 in the last 30 days)
mmark-ext,8, at Thu Feb 14 21:02:24 UTC 2019,3100 total (209 in the last 30 days)
mmorph,14, at Mon Apr 29 23:28:49 UTC 2019,234979 total (858 in the last 30 days)
mmtf,5, at Sun Feb 10 10:41:37 UTC 2019,1941 total (185 in the last 30 days)
mnist-idx,5, at Mon Mar 27 14:43:39 UTC 2017,3223 total (165 in the last 30 days)
mockery,9, at Tue Jun 13 14:57:18 UTC 2017,7739 total (395 in the last 30 days)
modern-uri,12, at Sat Aug 10 13:22:11 UTC 2019,5974 total (544 in the last 30 days)
modular,8, at Mon Nov  5 20:37:00 UTC 2018,2511 total (302 in the last 30 days)
monad-control,28, at Mon Feb 26 08:14:15 UTC 2018,271424 total (1250 in the last 30 days)
monad-control-aligned,2, at Mon Mar 26 09:00:03 UTC 2018,1518 total (105 in the last 30 days)
monad-coroutine,12, at Sun Feb 25 15:03:26 UTC 2018,8165 total (367 in the last 30 days)
monad-extras,18, at Fri Feb 10 01:28:29 UTC 2017,12359 total (739 in the last 30 days)
monadic-arrays,8, at Sun Jan 17 04:22:07 UTC 2016,5599 total (197 in the last 30 days)
monad-journal,23, at Sat Nov 25 23:19:02 UTC 2017,38742 total (745 in the last 30 days)
monad-logger,60, at Sun Mar  1 09:06:28 UTC 2020,105111 total (2847 in the last 30 days)
monad-logger-json,0, at Tue Mar 31 22:54:15 UTC 2015,969 total (26 in the last 30 days)
monad-logger-prefix,11, at Wed Mar  6 00:12:26 UTC 2019,4721 total (472 in the last 30 days)
monad-logger-syslog,7, at Mon Nov 25 16:27:16 UTC 2019,3858 total (178 in the last 30 days)
monad-loops,9, at Fri Jun 19 20:28:18 UTC 2015,92483 total (554 in the last 30 days)
monad-memo,7, at Fri Aug 31 06:16:54 UTC 2018,6891 total (477 in the last 30 days)
monad-metrics,9, at Fri May 10 15:54:10 UTC 2019,3544 total (210 in the last 30 days)
monad-par,16, at Mon Nov  4 08:35:42 UTC 2019,47724 total (760 in the last 30 days)
monad-parallel,13, at Sun Feb 25 15:00:13 UTC 2018,10278 total (355 in the last 30 days)
monad-par-extras,2, at Fri Jul 12 19:46:20 UTC 2013,38374 total (272 in the last 30 days)
monad-peel,5, at Thu Mar  2 12:25:47 UTC 2017,4280 total (203 in the last 30 days)
monad-products,10, at Sun Jan 17 04:26:03 UTC 2016,7170 total (292 in the last 30 days)
MonadPrompt,5, at Sun Sep 14 01:41:12 UTC 2014,12457 total (275 in the last 30 days)
MonadRandom,28, at Sat Jan 18 15:40:40 UTC 2020,114658 total (1241 in the last 30 days)
monad-skeleton,10, at Wed Aug  2 11:32:52 UTC 2017,6094 total (458 in the last 30 days)
monad-st,9, at Mon Jun 26 20:57:17 UTC 2017,7464 total (242 in the last 30 days)
monads-tf,5, at Wed Jun  8 16:55:01 UTC 2016,55245 total (318 in the last 30 days)
monad-time,3, at Mon Apr  9 12:02:56 UTC 2018,4123 total (201 in the last 30 days)
monad-unlift,4, at Tue May  3 05:26:49 UTC 2016,5549 total (212 in the last 30 days)
monad-unlift-ref,1, at Tue Nov 21 12:09:07 UTC 2017,1325 total (82 in the last 30 days)
mongoDB,63, at Sun Feb  9 15:36:11 UTC 2020,42587 total (2264 in the last 30 days)
monoidal-containers,18, at Tue Nov 26 02:18:30 UTC 2019,8572 total (516 in the last 30 days)
monoid-extras,33, at Sun Oct 20 02:03:59 UTC 2019,45065 total (949 in the last 30 days)
monoid-subclasses,32, at Wed Jan 22 03:50:10 UTC 2020,22429 total (1131 in the last 30 days)
monoid-transformer,3, at Fri Feb 16 21:40:57 UTC 2018,4986 total (221 in the last 30 days)
mono-traversable,57, at Wed Dec 25 05:17:36 UTC 2019,71905 total (2273 in the last 30 days)
mono-traversable-instances,0, at Mon Jul  4 16:48:39 UTC 2016,2334 total (91 in the last 30 days)
mono-traversable-keys,0, at Wed Jan 30 15:28:03 UTC 2019,424 total (52 in the last 30 days)
more-containers,13, at Sat Dec 14 20:31:18 UTC 2019,3750 total (348 in the last 30 days)
mountpoints,2, at Tue Mar 15 17:42:57 UTC 2016,3656 total (174 in the last 30 days)
mpi-hs,8, at Wed Sep  4 18:33:39 UTC 2019,2400 total (376 in the last 30 days)
msgpack,27, at Wed Mar 27 23:37:20 UTC 2019,17299 total (710 in the last 30 days)
msgpack-aeson,0, at Sat Apr  4 07:42:41 UTC 2015,845 total (41 in the last 30 days)
mtl,16, at Sat Feb 24 22:15:39 UTC 2018,456914 total (924 in the last 30 days)
mtl-compat,6, at Sun Apr 28 13:30:42 UTC 2019,15699 total (409 in the last 30 days)
mtl-prelude,9, at Tue May 24 05:56:12 UTC 2016,7027 total (274 in the last 30 days)
multiarg,23, at Thu Sep 10 01:56:51 UTC 2015,14524 total (655 in the last 30 days)
multimap,3, at Sat Jun  1 14:22:26 UTC 2013,5714 total (133 in the last 30 days)
multipart,5, at Mon Oct  7 13:01:10 UTC 2019,8517 total (258 in the last 30 days)
multiset,10, at Sun Dec 15 13:22:59 UTC 2019,18843 total (370 in the last 30 days)
multistate,14, at Thu Jun  6 11:31:21 UTC 2019,9688 total (687 in the last 30 days)
murmur3,3, at Tue Aug  2 09:31:14 UTC 2016,2376 total (132 in the last 30 days)
murmur-hash,7, at Sun May  1 15:24:53 UTC 2016,15483 total (385 in the last 30 days)
MusicBrainz,11, at Sat Oct  6 17:02:42 UTC 2018,8008 total (434 in the last 30 days)
mustache,25, at Tue Dec 17 12:46:38 UTC 2019,13586 total (847 in the last 30 days)
mutable-containers,13, at Fri Feb  2 13:47:27 UTC 2018,14157 total (661 in the last 30 days)
mwc-probability,15, at Wed Jan 29 15:34:56 UTC 2020,6911 total (443 in the last 30 days)
mwc-probability-transition,6, at Wed May 23 12:16:24 UTC 2018,2131 total (231 in the last 30 days)
mwc-random,33, at Wed Jul 11 16:24:01 UTC 2018,113228 total (1256 in the last 30 days)
mysql,17, at Mon Jan 14 21:22:19 UTC 2019,17718 total (510 in the last 30 days)
mysql-haskell,17, at Thu Jan 24 08:34:48 UTC 2019,6942 total (508 in the last 30 days)
mysql-haskell-nem,0, at Sun Dec 18 16:03:30 UTC 2016,806 total (45 in the last 30 days)
mysql-simple,21, at Tue Mar 20 16:15:28 UTC 2018,20044 total (512 in the last 30 days)
n2o,1, at Thu Nov  1 06:11:45 UTC 2018,665 total (55 in the last 30 days)
nagios-check,5, at Tue Sep  1 18:27:17 UTC 2015,3439 total (180 in the last 30 days)
named,3, at Sat Oct 19 06:36:11 UTC 2019,1418 total (118 in the last 30 days)
names-th,10, at Fri Jun 22 10:28:08 UTC 2018,6024 total (301 in the last 30 days)
nano-erl,1, at Sat Jan 23 01:00:27 UTC 2016,1287 total (80 in the last 30 days)
nanospec,3, at Thu Jan 11 05:22:55 UTC 2018,6016 total (268 in the last 30 days)
nats,7, at Tue Feb  6 17:37:36 UTC 2018,267297 total (742 in the last 30 days)
natural-induction,3, at Thu Dec 14 06:27:03 UTC 2017,1871 total (171 in the last 30 days)
natural-sort,2, at Tue Aug  7 21:58:20 UTC 2012,3496 total (95 in the last 30 days)
natural-transformation,4, at Tue Nov 15 19:59:14 UTC 2016,11543 total (264 in the last 30 days)
ndjson-conduit,5, at Thu Sep 15 12:44:48 UTC 2016,3224 total (150 in the last 30 days)
neat-interpolation,21, at Tue Feb  4 08:06:37 UTC 2020,18173 total (1130 in the last 30 days)
netlib-carray,3, at Wed Jan 23 08:58:48 UTC 2019,1490 total (194 in the last 30 days)
netlib-comfort-array,1, at Fri May 24 04:21:53 UTC 2019,533 total (55 in the last 30 days)
netlib-ffi,3, at Sat Jan  5 22:47:35 UTC 2019,1728 total (225 in the last 30 days)
netpbm,7, at Fri Mar 22 14:57:28 UTC 2019,5650 total (323 in the last 30 days)
netrc,1, at Sat Apr  4 14:20:09 UTC 2015,1792 total (100 in the last 30 days)
nettle,4, at Sat Jun 16 19:19:00 UTC 2018,3700 total (223 in the last 30 days)
netwire,26, at Sun Mar 25 02:36:57 UTC 2018,18855 total (706 in the last 30 days)
netwire-input,5, at Fri Mar  9 04:54:50 UTC 2018,3382 total (159 in the last 30 days)
netwire-input-glfw,8, at Mon Apr  9 01:51:49 UTC 2018,4093 total (215 in the last 30 days)
network,72, at Mon Nov 25 15:28:56 UTC 2019,381418 total (3942 in the last 30 days)
network-anonymous-i2p,3, at Thu Mar 26 09:48:59 UTC 2015,2503 total (98 in the last 30 days)
network-attoparsec,9, at Sun Mar 15 08:46:09 UTC 2015,5754 total (302 in the last 30 days)
network-bsd,2, at Sat Jan 19 23:54:28 UTC 2019,3472 total (389 in the last 30 days)
network-byte-order,7, at Fri Feb  7 03:39:38 UTC 2020,6445 total (865 in the last 30 days)
network-conduit-tls,30, at Mon Jun 25 13:01:40 UTC 2018,20673 total (779 in the last 30 days)
network-house,2, at Thu Sep  3 19:57:02 UTC 2015,2215 total (103 in the last 30 days)
network-info,12, at Sun Mar 25 08:23:21 UTC 2018,52921 total (520 in the last 30 days)
network-ip,7, at Fri Nov  8 09:34:44 UTC 2019,7045 total (302 in the last 30 days)
network-messagepack-rpc,6, at Tue Nov 12 06:14:22 UTC 2019,1229 total (124 in the last 30 days)
network-multicast,18, at Tue May 28 16:45:42 UTC 2019,18276 total (667 in the last 30 days)
network-simple,17, at Wed Jun 12 22:20:55 UTC 2019,13562 total (767 in the last 30 days)
network-simple-tls,8, at Sat Nov 16 17:23:47 UTC 2019,4330 total (279 in the last 30 days)
network-transport,15, at Mon May 13 00:10:01 UTC 2019,18675 total (474 in the last 30 days)
network-transport-composed,2, at Tue Aug 22 14:14:37 UTC 2017,1946 total (130 in the last 30 days)
network-uri,9, at Tue Feb 18 15:29:53 UTC 2020,137141 total (1364 in the last 30 days)
newtype,3, at Tue Sep 10 18:57:21 UTC 2019,37660 total (286 in the last 30 days)
newtype-generics,11, at Tue Sep 10 12:21:47 UTC 2019,16616 total (542 in the last 30 days)
nicify-lib,1, at Sun Mar 22 13:15:17 UTC 2015,1684 total (105 in the last 30 days)
NineP,3, at Sun Sep 22 22:28:49 UTC 2013,3115 total (120 in the last 30 days)
nix-paths,2, at Tue Dec  5 09:23:05 UTC 2017,2026 total (114 in the last 30 days)
NoHoed,1, at Thu Aug 31 21:57:02 UTC 2017,1314 total (87 in the last 30 days)
