Name, Age (approx. months)
abstract-deque,102
abstract-deque-tests,75
abstract-par,97
accuerr,46
ace,74
action-permutations,134
active,99
ad,120
adjunctions,113
adler32,51
advent-of-code-api,15
aeson,112
aeson-attoparsec,28
aeson-better-errors,60
aeson-casing,62
aeson-compat,52
aeson-diff,61
aeson-extra,55
aeson-generic-compat,43
aeson-iproute,53
aeson-picker,26
aeson-pretty,108
aeson-qq,110
aeson-utils,73
aeson-yak,54
al,62
alarmclock,21
alerts,31
alex,163
alg,29
algebraic-graphs,36
Allure,106
almost-fix,57
alsa-core,117
alsa-mixer,113
alsa-pcm,117
alsa-seq,117
alternative-vector,30
alternators,37
ALUT,165
amqp,125
annotated-wl-pprint,75
ansi-terminal,142
ansi-wl-pprint,142
ANum,77
aos-signature,18
apecs,30
apecs-gloss,16
apecs-physics,17
api-field-json-th,48
appar,120
appendmap,19
apply-refact,53
apportionment,56
approximate,85
app-settings,73
arbor-lru-cache,18
arithmoi,104
array,152
array-memoize,73
arrow-extras,37
asciidiagram,62
ascii-progress,63
asif,20
asn1-encoding,84
asn1-parse,84
asn1-types,85
assert-failure,77
assoc,13
astro,33
async,121
async-extra,39
async-refresh,36
async-refresh-tokens,36
async-timer,34
atom-basic,59
atomic-primops,84
atomic-write,63
attoparsec,145
attoparsec-base64,28
attoparsec-binary,111
attoparsec-expr,99
attoparsec-ip,30
attoparsec-iso8601,35
attoparsec-path,30
attoparsec-uri,34
audacity,61
aur,71
authenticate,134
authenticate-oauth,111
auto,61
autoexporter,50
auto-update,70
avers,61
avers-api,51
avers-server,51
avro,32
avwx,45
aws-cloudfront-signed-cookies,23
aws-lambda-haskell-runtime,15
backprop,37
bank-holidays-england,64
barbies,21
barrier,62
base,135
base16-bytestring,113
base32string,59
base58string,60
base64-bytestring,117
base64-bytestring-type,25
base64-string,161
base-compat,90
base-compat-batteries,24
basement,32
base-noprelude,59
base-orphans,46
base-prelude,70
base-unicode-symbols,126
basic-prelude,93
bazel-runfiles,16
bbdb,115
bcrypt,106
beam-core,26
beam-migrate,26
beam-mysql,12
beam-postgres,24
beam-sqlite,26
bench,49
benchpress,143
bench-show,17
bencode,157
bencoding,83
between,69
bibtex,127
bifunctors,112
