Name,Hackage Downloads
abstract-deque,43866
abstract-deque-tests,1293
abstract-par,38675
accuerr,1441
ace,5245
action-permutations,2504
active,45841
ad,59256
adjunctions,95732
adler32,2003
advent-of-code-api,3466
aeson,439254
aeson-attoparsec,704
aeson-better-errors,11683
aeson-casing,5011
aeson-compat,17829
aeson-diff,6451
aeson-extra,11264
aeson-generic-compat,1925
aeson-iproute,2050
aeson-picker,2123
aeson-pretty,74053
aeson-qq,13505
aeson-utils,8130
aeson-yak,3637
al,8418
alarmclock,10502
alerts,1155
alex,120916
alg,6597
algebraic-graphs,6487
Allure,17098
almost-fix,1542
alsa-core,7757
alsa-mixer,10428
alsa-pcm,5773
alsa-seq,7938
alternative-vector,774
alternators,1965
ALUT,11146
amqp,36656
annotated-wl-pprint,33145
ansi-terminal,322683
ansi-wl-pprint,213998
ANum,2774
aos-signature,766
apecs,15562
apecs-gloss,1650
apecs-physics,2219
api-field-json-th,1947
appar,39542
appendmap,1689
apply-refact,8269
apportionment,2243
approximate,7649
app-settings,9804
arbor-lru-cache,650
arithmoi,28730
array,34420
array-memoize,1989
arrow-extras,1199
asciidiagram,6903
ascii-progress,10076
asif,4649
asn1-encoding,136325
asn1-parse,124946
asn1-types,150894
assert-failure,6865
assoc,1876
astro,3048
async,241260
async-extra,1350
async-refresh,2039
async-refresh-tokens,2514
async-timer,1620
atom-basic,4437
atomic-primops,22047
atomic-write,6076
attoparsec,371888
attoparsec-base64,708
attoparsec-binary,6274
attoparsec-expr,3536
attoparsec-ip,2179
attoparsec-iso8601,17564
attoparsec-path,1238
attoparsec-uri,3846
audacity,2793
aur,12179
authenticate,85211
authenticate-oauth,25921
auto,8601
autoexporter,12718
auto-update,75315
avers,13278
avers-api,4738
avers-server,5565
avro,14736
avwx,2726
aws-cloudfront-signed-cookies,1344
aws-lambda-haskell-runtime,3027
backprop,7927
bank-holidays-england,5649
barbies,4328
barrier,1882
base,40365
base16-bytestring,81589
base32string,1725
base58string,2283
base64-bytestring,230504
base64-bytestring-type,1052
base64-string,5056
base-compat,140808
base-compat-batteries,7293
basement,37849
base-noprelude,11296
base-orphans,99237
base-prelude,37651
base-unicode-symbols,99443
basic-prelude,33578
bazel-runfiles,900
bbdb,4915
bcrypt,9076
beam-core,3739
beam-migrate,3743
beam-mysql,274
beam-postgres,2633
beam-sqlite,3136
bench,6192
benchpress,9458
bench-show,1378
bencode,9915
bencoding,9937
between,3183
bibtex,8109
bifunctors,219314
bimap,11588
bimap-server,1473
binary,145618
binary-bits,5941
binary-conduit,11003
binary-ext,3253
binary-ieee754,1396
binary-list,17371
binary-orphans,14233
binary-parser,5825
binary-parsers,3582
binary-search,6247
binary-shared,9675
binary-tagged,9533
bindings-DSL,29720
bindings-GLFW,17871
bindings-libzip,7702
bindings-uname,3344
bins,1161
bitarray,8995
bitcoin-block,2758
bitcoin-script,3417
bitcoin-tx,4350
bitcoin-types,2257
bits,9791
bitset-word8,2004
bits-extra,3207
bitvec,3899
bitx-bitcoin,9347
blake2,1773
blas-carray,1729
blas-comfort-array,774
blas-ffi,2032
blas-hs,1568
blaze-bootstrap,1764
blaze-builder,294888
blaze-colonnade,2848
blaze-html,258511
blaze-markup,231611
blaze-svg,23313
blaze-textual,36145
bmp,29474
board-games,5004
boltzmann-samplers,1211
Boolean,41083
boolean-like,1341
boolean-normal-forms,2246
boolsimplifier,4324
boots,1173
bordacount,830
boring,1691
both,1482
bound,23983
BoundedChan,12741
bounded-queue,269
boundingboxes,4820
bower-json,9245
boxes,23102
brick,46132
brittany,5077
bsb-http-chunked,7022
bson,24742
bson-lens,1471
btrfs,5323
buffer-builder,9593
buffer-pipe,838
bugsnag-haskell,2312
bulletproofs,2273
butcher,7870
butter,1980
bv,5471
bv-little,1994
byteable,161419
bytedump,4424
byteorder,76278
bytes,44434
byteset,1548
bytestring,78361
bytestring-builder,66488
bytestring-conversion,9048
bytestring-lexing,23829
bytestring-strict-builder,5041
bytestring-to-vector,878
bytestring-tree-builder,9013
bzlib,18580
bzlib-conduit,7885
c2hs,41599
Cabal,281529
cabal2nix,62823
cabal2spec,3949
cabal-doctest,63336
cabal-file-th,5528
cabal-install,213626
cabal-rpm,39493
cache,2764
cacophony,5652
calendar-recycling,1117
call-stack,74833
ca-province-codes,370
carray,12556
cased,989
case-insensitive,207316
cases,5019
casing,4360
cassava,47740
cassava-conduit,8359
cassava-megaparsec,3064
cassava-records,1887
cast,1688
caster,928
category,4431
cayley-client,12790
cborg,7323
cborg-json,2800
cereal,251757
cereal-conduit,17371
cereal-text,5603
cereal-time,923
cereal-vector,9514
cfenv,557
cgi,33875
chan,2463
ChannelT,3218
charset,52399
charsetdetect-ae,7166
Chart,40034
Chart-diagrams,21464
