Name,Version Count
abstract-deque,9
abstract-deque-tests,1
abstract-par,3
accuerr,2
ace,7
action-permutations,2
active,35
ad,82
adjunctions,59
adler32,3
advent-of-code-api,20
aeson,76
aeson-attoparsec,1
aeson-better-errors,13
aeson-casing,8
aeson-compat,13
aeson-diff,12
aeson-extra,15
aeson-generic-compat,4
aeson-iproute,4
aeson-picker,6
aeson-pretty,25
aeson-qq,13
aeson-utils,7
aeson-yak,7
al,15
alarmclock,26
alerts,3
alex,28
alg,22
algebraic-graphs,12
Allure,34
almost-fix,4
alsa-core,2
alsa-mixer,8
alsa-pcm,9
alsa-seq,11
alternative-vector,1
alternators,5
ALUT,12
amqp,50
annotated-wl-pprint,6
ansi-terminal,38
ansi-wl-pprint,20
ANum,4
aos-signature,2
apecs,39
apecs-gloss,7
apecs-physics,9
api-field-json-th,3
appar,8
appendmap,5
apply-refact,9
apportionment,4
approximate,12
app-settings,18
arbor-lru-cache,2
arithmoi,31
array,14
array-memoize,2
arrow-extras,3
asciidiagram,14
ascii-progress,14
asif,17
asn1-encoding,12
asn1-parse,8
asn1-types,11
assert-failure,5
assoc,2
astro,7
async,19
async-extra,2
async-refresh,4
async-refresh-tokens,5
async-timer,3
atom-basic,8
atomic-primops,23
atomic-write,10
attoparsec,55
attoparsec-base64,1
attoparsec-binary,3
attoparsec-expr,4
attoparsec-ip,7
attoparsec-iso8601,2
attoparsec-path,2
attoparsec-uri,9
audacity,7
aur,24
authenticate,84
authenticate-oauth,26
auto,15
autoexporter,22
auto-update,16
avers,18
avers-api,9
avers-server,11
avro,45
avwx,6
aws-cloudfront-signed-cookies,4
aws-lambda-haskell-runtime,12
backprop,22
bank-holidays-england,12
barbies,14
barrier,2
base,28
base16-bytestring,8
base32string,2
base58string,3
base64-bytestring,12
base64-bytestring-type,2
base64-string,2
base-compat,33
base-compat-batteries,8
basement,12
base-noprelude,20
base-orphans,24
base-prelude,33
base-unicode-symbols,22
basic-prelude,25
bazel-runfiles,2
bbdb,8
bcrypt,11
beam-core,8
beam-migrate,8
beam-mysql,1
beam-postgres,6
beam-sqlite,9
bench,14
benchpress,16
bench-show,5
bencode,10
bencoding,17
between,5
bibtex,13
bifunctors,41
bimap,11
bimap-server,2
binary,47
binary-bits,5
binary-conduit,13
binary-ext,8
binary-ieee754,1
binary-list,28
binary-orphans,13
binary-parser,5
binary-parsers,7
binary-search,7
binary-shared,4
binary-tagged,12
bindings-DSL,26
bindings-GLFW,22
bindings-libzip,10
bindings-uname,1
bins,4
bitarray,2
bitcoin-block,4
bitcoin-script,5
bitcoin-tx,7
bitcoin-types,3
bits,11
bitset-word8,4
bits-extra,9
bitvec,13
bitx-bitcoin,21
blake2,3
blas-carray,5
blas-comfort-array,3
blas-ffi,5
blas-hs,2
blaze-bootstrap,2
blaze-builder,25
blaze-colonnade,7
blaze-html,59
blaze-markup,28
blaze-svg,13
blaze-textual,12
bmp,21
board-games,10
boltzmann-samplers,2
Boolean,10
boolean-like,2
boolean-normal-forms,4
boolsimplifier,5
boots,10
bordacount,1
boring,5
both,2
bound,33
