Name,Original Url,Date String
abstract-deque,https://hackage.haskell.org/package/abstract-deque-0.1.1, at Fri Dec  9 05:20:42 UTC 2011
abstract-deque-tests,https://hackage.haskell.org/package/abstract-deque-tests, at Wed Feb  5 05:15:29 UTC 2014
abstract-par,https://hackage.haskell.org/package/abstract-par-0.3, at Fri May  4 17:07:59 UTC 2012
accuerr,https://hackage.haskell.org/package/accuerr-0.2.0.0, at Sat Jun 11 20:13:03 UTC 2016
ace,https://hackage.haskell.org/package/ace-0.0, at Sun Feb 23 05:30:25 UTC 2014
action-permutations,https://hackage.haskell.org/package/action-permutations-0.0.0.0, at Thu Apr 30 11:04:50 UTC 2009
active,https://hackage.haskell.org/package/active-0.1.0.0, at Fri Mar  9 18:42:42 UTC 2012
ad,https://hackage.haskell.org/package/ad-0.12, at Sat Jun  5 23:35:36 UTC 2010
adjunctions,https://hackage.haskell.org/package/adjunctions-0.1, at Fri Jan 21 22:49:21 UTC 2011
adler32,https://hackage.haskell.org/package/adler32-0.1.0.0, at Fri Jan 22 08:33:49 UTC 2016
advent-of-code-api,https://hackage.haskell.org/package/advent-of-code-api-0.1.0.0, at Wed Dec  5 10:58:22 UTC 2018
aeson,https://hackage.haskell.org/package/aeson-0.1.0.0, at Thu Jan 27 23:36:19 UTC 2011
aeson-attoparsec,https://hackage.haskell.org/package/aeson-attoparsec, at Wed Nov 15 08:15:08 UTC 2017
aeson-better-errors,https://hackage.haskell.org/package/aeson-better-errors-0.1.0.0, at Thu Apr 16 10:15:20 UTC 2015
aeson-casing,https://hackage.haskell.org/package/aeson-casing-0.1.0.0, at Sun Mar  1 21:26:04 UTC 2015
aeson-compat,https://hackage.haskell.org/package/aeson-compat-0.3.0.0, at Fri Dec 25 16:14:45 UTC 2015
aeson-diff,https://hackage.haskell.org/package/aeson-diff-0.1.1.1, at Fri Apr  3 10:22:13 UTC 2015
aeson-extra,https://hackage.haskell.org/package/aeson-extra-0.1.0.0, at Tue Sep 29 11:09:33 UTC 2015
aeson-generic-compat,https://hackage.haskell.org/package/aeson-generic-compat-0.0.1.0, at Thu Sep 22 06:08:59 UTC 2016
aeson-iproute,https://hackage.haskell.org/package/aeson-iproute-0.1.0.0, at Wed Dec  2 22:39:35 UTC 2015
aeson-picker,https://hackage.haskell.org/package/aeson-picker-0.1.0.0, at Thu Jan 25 11:35:59 UTC 2018
aeson-pretty,https://hackage.haskell.org/package/aeson-pretty-0.1, at Sat Jun 11 19:57:41 UTC 2011
aeson-qq,https://hackage.haskell.org/package/aeson-qq-0.4.0, at Sat Apr 16 14:42:51 UTC 2011
aeson-utils,https://hackage.haskell.org/package/aeson-utils-0.2.1, at Thu Apr  3 10:50:32 UTC 2014
aeson-yak,https://hackage.haskell.org/package/aeson-yak-0.1.0.0, at Fri Oct 23 06:29:01 UTC 2015
al,https://hackage.haskell.org/package/al-0.1.0.0, at Sat Feb 28 13:40:31 UTC 2015
alarmclock,https://hackage.haskell.org/package/alarmclock-0.5.0.1, at Thu Jun 21 11:08:09 UTC 2018
alerts,https://hackage.haskell.org/package/alerts-0.1.0.0, at Tue Aug 29 21:24:38 UTC 2017
alex,https://hackage.haskell.org/package/alex-2.1.0, at Mon Jan  8 17:42:19 UTC 2007
alg,https://hackage.haskell.org/package/alg-0.2.0.0, at Thu Nov  2 23:01:47 UTC 2017
algebraic-graphs,https://hackage.haskell.org/package/algebraic-graphs-0.0.1, at Fri Mar 24 04:23:52 UTC 2017
Allure,https://hackage.haskell.org/package/Allure-0.4.1, at Fri Aug  5 14:05:25 UTC 2011
almost-fix,https://hackage.haskell.org/package/almost-fix-0.0.0,at Fri Jul 24 02:41:19 UTC 2015
alsa-core,https://hackage.haskell.org/package/alsa-core-0.5, at Mon Sep 20 19:53:55 UTC 2010
alsa-mixer,https://hackage.haskell.org/package/alsa-mixer-0.1, at Thu Jan  6 18:45:55 UTC 2011
alsa-pcm,https://hackage.haskell.org/package/alsa-pcm-0.5, at Mon Sep 20 19:55:26 UTC 2010
alsa-seq,https://hackage.haskell.org/package/alsa-seq-0.5, at Mon Sep 20 19:59:25 UTC 2010
alternative-vector,https://hackage.haskell.org/package/alternative-vector, at Wed Oct 11 19:34:21 UTC 2017
alternators,https://hackage.haskell.org/package/alternators-0.1.1.1, at Mon Mar  6 20:36:23 UTC 2017
ALUT,https://hackage.haskell.org/package/ALUT-2.0, at Thu Nov  2 14:20:52 UTC 2006
amqp,https://hackage.haskell.org/package/amqp-0.1, at Sat Jan 16 20:32:42 UTC 2010
annotated-wl-pprint,https://hackage.haskell.org/package/annotated-wl-pprint-0.5, at Mon Jan 27 01:21:06 UTC 2014
ansi-terminal,https://hackage.haskell.org/package/ansi-terminal-0.1, at Sun Aug 31 22:30:22 UTC 2008
ansi-wl-pprint,https://hackage.haskell.org/package/ansi-wl-pprint-0.1, at Mon Sep  1 13:05:41 UTC 2008
ANum,https://hackage.haskell.org/package/ANum-0.1.0.0, at Fri Dec 13 21:29:12 UTC 2013
aos-signature,https://hackage.haskell.org/package/aos-signature-0.1.0, at Sun Sep 16 14:08:38 UTC 2018
apecs,https://hackage.haskell.org/package/apecs-0.1.0.0, at Fri Sep 15 01:30:08 UTC 2017
apecs-gloss,https://hackage.haskell.org/package/apecs-gloss-0.1.0, at Fri Nov 30 04:00:07 UTC 2018
apecs-physics,https://hackage.haskell.org/package/apecs-physics-0.2.0.0, at Wed Oct 10 03:02:10 UTC 2018
api-field-json-th,https://hackage.haskell.org/package/api-field-json-th-0.1.0.0, at Fri Apr 15 11:50:48 UTC 2016
appar,https://hackage.haskell.org/package/appar-0.1.1, at Wed Jun 30 07:07:57 UTC 2010
appendmap,https://hackage.haskell.org/package/appendmap-0.1.1, at Mon Aug 20 10:41:53 UTC 2018
apply-refact,https://hackage.haskell.org/package/apply-refact-0.1.0.0, at Sat Nov 21 23:00:26 UTC 2015
apportionment,https://hackage.haskell.org/package/apportionment-0.0, at Wed Aug 19 09:21:29 UTC 2015
approximate,https://hackage.haskell.org/package/approximate-0.1, at Tue Apr 30 04:58:55 UTC 2013
app-settings,https://hackage.haskell.org/package/app-settings-0.1.0.0, at Sat Apr 19 19:43:15 UTC 2014
arbor-lru-cache,https://hackage.haskell.org/package/arbor-lru-cache-0.1.1.0, at Wed Sep 26 05:09:38 UTC 2018
arithmoi,https://hackage.haskell.org/package/arithmoi-0.1.0.0, at Mon Oct 17 22:04:16 UTC 2011
array,https://hackage.haskell.org/package/array-0.1.0.0, at Sat Nov  3 15:32:13 UTC 2007
array-memoize,https://hackage.haskell.org/package/array-memoize-0.5.0, at Mon Mar 31 11:46:20 UTC 2014
arrow-extras,https://hackage.haskell.org/package/arrow-extras-0.1.0.0, at Wed Mar 15 12:08:11 UTC 2017
asciidiagram,https://hackage.haskell.org/package/asciidiagram-1.0, at Sat Feb 14 09:45:57 UTC 2015
ascii-progress,https://hackage.haskell.org/package/ascii-progress-0.1.0.0, at Wed Jan 21 21:07:19 UTC 2015
asif,https://hackage.haskell.org/package/asif-1.0.0, at Thu Jul 26 03:38:02 UTC 2018
asn1-encoding,https://hackage.haskell.org/package/asn1-encoding-0.8.0, at Thu May 16 08:00:20 UTC 2013
asn1-parse,https://hackage.haskell.org/package/asn1-parse-0.8.0, at Thu May 16 08:04:42 UTC 2013
asn1-types,https://hackage.haskell.org/package/asn1-types-0.1.0, at Tue Apr  9 04:12:58 UTC 2013
assert-failure,https://hackage.haskell.org/package/assert-failure-0.1, at Tue Dec 10 23:21:31 UTC 2013
assoc,https://hackage.haskell.org/package/assoc-1, at Mon Feb  4 07:25:55 UTC 2019
astro,https://hackage.haskell.org/package/astro-0.4.1.0, at Sun Jun 25 21:50:13 UTC 2017
async,https://hackage.haskell.org/package/async-1.0, at Wed May 26 19:58:02 UTC 2010
async-extra,https://hackage.haskell.org/package/async-extra-0.1.0.0, at Sun Jan  8 23:04:14 UTC 2017
async-refresh,https://hackage.haskell.org/package/async-refresh-0.1.7, at Tue Apr 11 12:58:05 UTC 2017
async-refresh-tokens,https://hackage.haskell.org/package/async-refresh-tokens-0.1.0, at Tue Apr 11 14:36:04 UTC 2017
async-timer,https://hackage.haskell.org/package/async-timer-0.1.4.0, at Mon Jun 12 08:59:33 UTC 2017
atom-basic,https://hackage.haskell.org/package/atom-basic-0.0.1.0, at Sun May 31 15:14:29 UTC 2015
atomic-primops,https://hackage.haskell.org/package/atomic-primops-0.1.0.0, at Tue May  7 17:19:15 UTC 2013
atomic-write,https://hackage.haskell.org/package/atomic-write-0.1.0.0, at Fri Feb  6 17:03:41 UTC 2015
attoparsec,https://hackage.haskell.org/package/attoparsec-0.4, at Fri Jun  6 21:18:00 UTC 2008
attoparsec-base64,https://hackage.haskell.org/package/attoparsec-base64, at Fri Nov 24 15:36:53 UTC 2017
attoparsec-binary,https://hackage.haskell.org/package/attoparsec-binary-0.1, at Sat Mar 12 01:10:23 UTC 2011
attoparsec-expr,https://hackage.haskell.org/package/attoparsec-expr-0.1, at Wed Mar 14 17:12:14 UTC 2012
attoparsec-ip,https://hackage.haskell.org/package/attoparsec-ip-0.0.0, at Fri Sep 29 14:38:26 UTC 2017
attoparsec-iso8601,https://hackage.haskell.org/package/attoparsec-iso8601-1.0.0.0, at Thu Apr 20 08:05:42 UTC 2017
attoparsec-path,https://hackage.haskell.org/package/attoparsec-path-0.0.0, at Thu Sep 28 08:30:25 UTC 2017
attoparsec-uri,https://hackage.haskell.org/package/attoparsec-uri-0.0.0, at Wed Jun  7 15:55:41 UTC 2017
audacity,https://hackage.haskell.org/package/audacity-0.0, at Wed Apr  8 19:30:30 UTC 2015
aur,https://hackage.haskell.org/package/aur-0.0.1, at Mon Jun  9 21:24:53 UTC 2014
authenticate,https://hackage.haskell.org/package/authenticate-0.0.0, at Fri May  8 10:23:12 UTC 2009
authenticate-oauth,https://hackage.haskell.org/package/authenticate-oauth-0.1, at Mon Mar  7 09:05:38 UTC 2011
auto,https://hackage.haskell.org/package/auto-0.2.0.2, at Mon Mar 16 05:14:38 UTC 2015
autoexporter,https://hackage.haskell.org/package/autoexporter-0.1.0, at Sun Feb 21 20:33:30 UTC 2016
auto-update,https://hackage.haskell.org/package/auto-update-0.1.0.0, at Wed Jul 16 04:39:50 UTC 2014
